iter	Passed	Remaining
0	153	153586
1	154	76980
2	154	51395
3	155	38616
4	155	30961
5	156	25844
6	157	22283
7	157	19553
8	158	17433
9	159	15746
10	159	14358
11	160	13204
12	161	12248
13	162	11423
14	162	10690
15	163	10048
16	164	9493
17	165	9004
18	165	8550
19	167	8183
20	167	7814
21	168	7484
22	169	7179
23	169	6893
24	170	6631
25	170	6397
26	171	6180
27	172	5976
28	172	5784
29	173	5604
30	173	5432
31	174	5272
32	174	5127
33	175	4986
34	176	4855
35	176	4731
36	177	4618
37	178	4508
38	178	4403
39	179	4301
40	179	4206
41	180	4113
42	180	4026
43	181	3944
44	182	3866
45	182	3793
46	183	3720
47	184	3651
48	184	3583
49	185	3518
50	185	3458
51	186	3400
52	187	3341
53	187	3287
54	188	3235
55	188	3185
56	189	3137
57	190	3093
58	191	3046
59	191	3001
60	192	2959
61	192	2919
62	193	2878
63	193	2837
64	194	2798
65	195	2761
66	195	2724
67	196	2690
68	197	2658
69	197	2627
70	198	2596
71	198	2563
72	199	2533
73	200	2505
74	200	2477
75	201	2449
76	202	2421
77	202	2394
78	203	2368
79	203	2342
80	204	2318
81	204	2294
82	205	2268
83	205	2245
84	206	2221
85	206	2199
86	207	2178
87	208	2158
88	208	2138
89	209	2118
90	210	2098
91	210	2078
92	211	2059
93	211	2040
94	212	2022
95	212	2004
96	213	1986
97	213	1968
98	214	1953
99	215	1937
100	215	1921
101	216	1905
102	217	1890
103	217	1874
104	218	1859
105	218	1844
106	219	1830
107	220	1821
108	221	1806
109	221	1792
110	222	1778
111	222	1765
112	223	1753
113	223	1740
114	224	1728
115	225	1715
116	225	1702
117	226	1691
118	226	1680
119	227	1668
120	228	1657
121	228	1645
122	229	1633
123	229	1622
124	230	1612
125	231	1602
126	231	1591
127	232	1580
128	232	1570
129	233	1560
130	233	1550
131	234	1540
132	234	1531
133	235	1521
134	236	1512
135	236	1502
136	237	1493
137	237	1485
138	238	1476
139	238	1467
140	239	1459
141	239	1449
142	240	1440
143	240	1432
144	241	1424
145	242	1416
146	242	1408
147	243	1400
148	243	1392
149	244	1385
150	245	1377
151	245	1370
152	246	1363
153	246	1356
154	247	1348
155	247	1341
156	248	1334
157	249	1328
158	249	1322
159	250	1315
160	250	1307
161	251	1301
162	252	1295
163	252	1289
164	253	1283
165	254	1277
166	254	1271
167	255	1264
168	256	1258
169	256	1253
170	257	1247
171	257	1241
172	258	1235
173	259	1229
174	259	1224
175	260	1219
176	261	1214
177	261	1208
178	262	1202
179	262	1197
180	263	1192
181	264	1186
182	264	1182
183	265	1176
184	265	1171
185	266	1166
186	267	1161
187	267	1157
188	268	1152
189	269	1147
190	269	1142
191	270	1137
192	271	1133
193	271	1128
194	272	1124
195	272	1119
196	273	1115
197	274	1110
198	274	1106
199	275	1102
200	276	1097
201	276	1093
202	277	1088
203	278	1084
204	278	1080
205	279	1076
206	279	1072
207	280	1067
208	280	1063
209	281	1059
210	282	1055
211	282	1051
212	283	1047
213	283	1042
214	284	1038
215	285	1034
216	285	1030
217	286	1026
218	286	1022
219	287	1018
220	287	1014
221	288	1010
222	289	1007
223	289	1003
224	290	1000
225	291	996
226	291	993
227	292	989
228	292	986
229	293	983
230	294	979
231	294	976
232	295	972
233	295	968
234	296	965
235	297	961
236	297	959
237	298	956
238	299	952
239	299	948
240	300	945
241	300	942
242	301	939
243	302	936
244	302	933
245	303	929
246	303	926
247	304	922
248	304	919
249	305	916
250	306	913
251	306	910
252	307	907
253	307	904
254	308	902
255	309	899
256	310	896
257	310	893
258	311	890
259	311	887
260	312	884
261	313	881
262	313	879
263	314	876
264	314	872
265	315	870
266	316	868
267	316	865
268	317	862
269	318	859
270	318	856
271	319	854
272	319	851
273	320	849
274	321	846
275	321	843
276	322	841
277	322	838
278	323	835
279	324	833
280	324	831
281	325	828
282	326	826
283	326	823
284	327	820
285	327	818
286	328	816
287	329	813
288	329	811
289	330	808
290	330	806
291	331	804
292	332	802
293	332	799
294	333	796
295	334	794
296	334	792
297	335	790
298	336	788
299	337	786
300	337	784
301	338	781
302	338	779
303	339	777
304	340	775
305	340	772
306	341	770
307	341	768
308	342	766
309	343	764
310	344	762
311	344	759
312	345	757
313	345	755
314	346	753
315	347	751
316	347	749
